y 2015
m 12
p 81.6924 228.561 2016:1:11:12:0:0
p 89.9659 239.44 2016:1:11:13:0:0
p 89.3402 121.238 2016:1:12:4:0:0
p 81.0342 132.195 2016:1:12:5:0:0
p 73.8932 144.423 2016:1:12:6:0:0
p 68.7049 158.066 2016:1:12:7:0:0
p 65.991 172.87 2016:1:12:8:0:0
p 66.0771 188.114 2016:1:12:9:0:0
p 68.952 202.866 2016:1:12:10:0:0
p 74.2735 216.43 2016:1:12:11:0:0
p 81.5127 228.579 2016:1:12:12:0:0
p 89.8157 239.477 2016:1:12:13:0:0
p 89.2862 121.063 2016:1:13:4:0:0
p 80.9534 132.026 2016:1:13:5:0:0
p 73.7886 144.263 2016:1:13:6:0:0
p 68.5749 157.923 2016:1:13:7:0:0
p 65.8371 172.755 2016:1:13:8:0:0
p 65.9047 188.036 2016:1:13:9:0:0
p 68.7689 202.828 2016:1:13:10:0:0
p 74.087 216.426 2016:1:13:11:0:0
p 81.3287 228.602 2016:1:13:12:0:0
p 89.6611 239.521 2016:1:13:13:0:0
p 89.2262 120.885 2016:1:14:4:0:0
p 80.8659 131.855 2016:1:14:5:0:0
p 73.677 144.101 2016:1:14:6:0:0
p 68.4378 157.78 2016:1:14:7:0:0
p 65.6762 172.641 2016:1:14:8:0:0
p 65.7257 187.961 2016:1:14:9:0:0
p 68.5799 202.793 2016:1:14:10:0:0
p 73.8954 216.427 2016:1:14:11:0:0
p 81.1403 228.631 2016:1:14:12:0:0
p 89.5019 239.571 2016:1:14:13:0:0
p 89.1601 120.704 2016:1:15:4:0:0
p 80.7715 131.681 2016:1:15:5:0:0
p 73.5584 143.939 2016:1:15:6:0:0
p 68.2937 157.637 2016:1:15:7:0:0
p 65.5084 172.529 2016:1:15:8:0:0
p 65.5403 187.889 2016:1:15:9:0:0
p 68.3851 202.764 2016:1:15:10:0:0
p 73.6989 216.434 2016:1:15:11:0:0
p 80.9477 228.666 2016:1:15:12:0:0
p 89.338 239.627 2016:1:15:13:0:0
p 89.0879 120.521 2016:1:16:4:0:0
